County FIPS,State,Area_Name,POP_ESTIMATE_2023,INTERNATIONAL_MIG_2023
00000,US,United States,"334,914,895","1,138,989"
01000,AL,Alabama,"5,108,468","5,384"
01001,AL,Autauga County,"60,342",34
01003,AL,Baldwin County,"253,507",291
01005,AL,Barbour County,"24,585",13
01007,AL,Bibb County,"21,868",1
01009,AL,Blount County,"59,816",24
01011,AL,Bullock County,"9,897",6
01013,AL,Butler County,"18,382",8
01015,AL,Calhoun County,"116,429",29
01017,AL,Chambers County,"34,079",55
01019,AL,Cherokee County,"25,666",14
01021,AL,Chilton County,"46,431",49
01023,AL,Choctaw County,"12,252",2
01025,AL,Clarke County,"22,337",0
01027,AL,Clay County,"14,111",-3
01029,AL,Cleburne County,"15,639",-1
01031,AL,Coffee County,"55,643",68
01033,AL,Colbert County,"58,361",47
01035,AL,Conecuh County,"11,174",0
01037,AL,Coosa County,"10,268",-1
01039,AL,Covington County,"37,952",-1
01041,AL,Crenshaw County,"13,101",27
01043,AL,Cullman County,"92,016",16
01045,AL,Dale County,"49,871",49
01047,AL,Dallas County,"36,165",37
01049,AL,DeKalb County,"72,569",100
01051,AL,Elmore County,"90,441",29
01053,AL,Escambia County,"36,558",2
01055,AL,Etowah County,"103,241",69
01057,AL,Fayette County,"15,967",0
01059,AL,Franklin County,"31,802",54
01061,AL,Geneva County,"26,988",17
01063,AL,Greene County,"7,341",0
01065,AL,Hale County,"14,888",1
01067,AL,Henry County,"17,899",0
01069,AL,Houston County,"108,462",83
01071,AL,Jackson County,"53,467",29
01073,AL,Jefferson County,"662,895",818
01075,AL,Lamar County,"13,661",-1
01077,AL,Lauderdale County,"96,814",58
01079,AL,Lawrence County,"33,502",-1
01081,AL,Lee County,"183,215",575
01083,AL,Limestone County,"114,654",104
01085,AL,Lowndes County,"9,717",1
01087,AL,Macon County,"18,370",24
01089,AL,Madison County,"412,600",789
01091,AL,Marengo County,"18,684",14
01093,AL,Marion County,"29,244",1
01095,AL,Marshall County,"100,756",181
01097,AL,Mobile County,"411,640",325
01099,AL,Monroe County,"19,229",1
01101,AL,Montgomery County,"224,980",439
01103,AL,Morgan County,"125,133",106
